 An,Ac,Reco,NEE
   0.00000000     ,  -0.00000000     ,   1.39639831     ,   1.39639831    
   0.00000000     ,  -0.00000000     ,   1.39639831     ,   1.39639831    
   0.00000000     ,  -0.00000000     ,   1.47118700     ,   1.47118700    
   0.00000000     ,  -0.00000000     ,   1.62718761     ,   1.62718761    
   0.00000000     ,  -0.00000000     ,   1.87646925     ,   1.87646925    
   0.00000000     ,  -0.00000000     ,   2.23437405     ,   2.23437405    
   5.99210691     ,  -1.01932716E-02 ,   2.71465826     ,   2.72485161    
   9.79694557     ,  -1.66657455E-02 ,   3.32093740     ,   3.33760309    
   12.3837652     ,  -2.10662279E-02 ,   4.03478146     ,   4.05584764    
   14.8244858     ,  -2.52181776E-02 ,   4.80434799     ,   4.82956600    
   16.8950329     ,  -2.87404209E-02 ,   5.54036331     ,   5.56910372    
   18.2729225     ,  -3.10843717E-02 ,   6.12784863     ,   6.15893316    
   18.6621742     ,  -3.17465328E-02 ,   6.45604467     ,   6.48779106    
   17.7601185     ,  -3.02120317E-02 ,   6.45604467     ,   6.48625660    
   14.8835287     ,  -2.53186170E-02 ,   6.12784863     ,   6.15316725    
   6.85008240     ,  -1.16527881E-02 ,   5.54036331     ,   5.55201626    
   0.00000000     ,  -0.00000000     ,   4.80434799     ,   4.80434799    
   0.00000000     ,  -0.00000000     ,   4.03478146     ,   4.03478146    
   0.00000000     ,  -0.00000000     ,   3.32093740     ,   3.32093740    
   0.00000000     ,  -0.00000000     ,   2.71467710     ,   2.71467710    
   0.00000000     ,  -0.00000000     ,   2.23437405     ,   2.23437405    
   0.00000000     ,  -0.00000000     ,   1.87646925     ,   1.87646925    
   0.00000000     ,  -0.00000000     ,   1.62549222     ,   1.62549222    
   0.00000000     ,  -0.00000000     ,   1.22643137     ,   1.22643137    
   0.00000000     ,  -0.00000000     ,   1.15908515     ,   1.15908515    
   0.00000000     ,  -0.00000000     ,   1.15908515     ,   1.15908515    
   0.00000000     ,  -0.00000000     ,   1.22643137     ,   1.22643137    
   0.00000000     ,  -0.00000000     ,   1.36782777     ,   1.36782777    
   0.00000000     ,  -0.00000000     ,   1.59603965     ,   1.59603965    
   0.00000000     ,  -0.00000000     ,   1.92805552     ,   1.92805552    
   5.91060686     ,  -1.00546302E-02 ,   2.38048673     ,   2.39054132    
   8.75759411     ,  -1.48976883E-02 ,   2.96098375     ,   2.97588134    
   11.1498566     ,  -1.89672057E-02 ,   3.65579867     ,   3.67476583    
   13.5413332     ,  -2.30353866E-02 ,   4.41629505     ,   4.43933058    
   15.6510792     ,  -2.66243089E-02 ,   5.15312099     ,   5.17974520    
   17.1474075     ,  -2.91697383E-02 ,   5.74722862     ,   5.77639818    
   17.7465935     ,  -3.01890243E-02 ,   6.08116007     ,   6.11134911    
   17.2068825     ,  -2.92709116E-02 ,   6.08116007     ,   6.11043119    
   15.0405693     ,  -2.55857613E-02 ,   5.74722862     ,   5.77281427    
   8.00463200     ,  -1.36168115E-02 ,   5.15315723     ,   5.16677427    
   0.00000000     ,  -0.00000000     ,   4.41629505     ,   4.41629505    
   0.00000000     ,  -0.00000000     ,   3.65579867     ,   3.65579867    
   0.00000000     ,  -0.00000000     ,   2.96100426     ,   2.96100426    
   0.00000000     ,  -0.00000000     ,   2.38048673     ,   2.38048673    
   0.00000000     ,  -0.00000000     ,   1.92806876     ,   1.92806876    
   0.00000000     ,  -0.00000000     ,   1.59605062     ,   1.59605062    
   0.00000000     ,  -0.00000000     ,   1.36647820     ,   1.36647820    
   0.00000000     ,  -0.00000000     ,   1.24854028     ,   1.24854028    
   0.00000000     ,  -0.00000000     ,   1.17765951     ,   1.17765951    
   0.00000000     ,  -0.00000000     ,   1.17765951     ,   1.17765951    
   0.00000000     ,  -0.00000000     ,   1.24854028     ,   1.24854028    
   0.00000000     ,  -0.00000000     ,   1.39778507     ,   1.39778507    
   0.00000000     ,  -0.00000000     ,   1.63979161     ,   1.63979161    
   0.00000000     ,  -0.00000000     ,   1.99398208     ,   1.99398208    
   5.58026552     ,  -8.93389713E-03 ,   2.48000407     ,   2.48893785    
   8.98946571     ,  -1.43919615E-02 ,   3.10833573     ,   3.12272763    
   11.5880880     ,  -1.85523052E-02 ,   3.86597562     ,   3.88452792    
   14.1016417     ,  -2.25764550E-02 ,   4.70101547     ,   4.72359180    
   16.2423172     ,  -2.60036364E-02 ,   5.51492977     ,   5.54093361    
   17.6517658     ,  -2.82601379E-02 ,   6.17415810     ,   6.20241833    
   18.0237312     ,  -2.88556460E-02 ,   6.54576778     ,   6.57462358    
   17.0709934     ,  -2.73303315E-02 ,   6.54576778     ,   6.57309818    
   14.1753302     ,  -2.26944312E-02 ,   6.17415810     ,   6.19685268    
   6.58147764     ,  -1.05368197E-02 ,   5.51496792     ,   5.52550459    
   0.00000000     ,  -0.00000000     ,   4.70104837     ,   4.70104837    
   0.00000000     ,  -0.00000000     ,   3.86597562     ,   3.86597562    
   0.00000000     ,  -0.00000000     ,   3.10833573     ,   3.10833573    
   0.00000000     ,  -0.00000000     ,   2.48002124     ,   2.48002124    
   0.00000000     ,  -0.00000000     ,   1.99398208     ,   1.99398208    
   0.00000000     ,  -0.00000000     ,   1.63979161     ,   1.63979161    
   0.00000000     ,  -0.00000000     ,   1.39709139     ,   1.39709139    
   0.00000000     ,  -0.00000000     ,   1.57511401     ,   1.57511401    
